"Ingreso","Gasto_Educacion"
62693.5,3414.04
46405.93,6478.53
68310.41,10429.52
38783.86,6182.61
37694.8,5541.69
29779.09,5541.93
43254,4663.61
98579.73,12976.81
23878.21,3392.47
18193.96,3087.64
22771.62,4398.67
72100.64,10693.41
65733.08,5716.81
90225.47,4025.66
70569.92,5435.52
76337,1999.23
56902.22,8057.29
69385.46,10967.27
83962.49,17960.97
80765.34,6463.38
98183.97,9498.62
49548.84,6686.06
38053.2,6257.36
46852.75,4815.03
10942.04,3602.64
26546.46,4150.68
85845.64,14813.19
30804.56,2571.09
31519,4896.23
16902.2,3982.44
32115.13,4421.17
75892.17,7772.79
86270.78,7876.19
54777.45,7761
44911.81,9325.79
32180.41,3569.92
19998.68,3900.87
45099.5,5421.77
61474.18,12491.19
29520.35,7797.4
50029.12,8255.47
29619.16,5060.12
55206.96,11292.02
41851.41,5219.18
68498.66,8655.26
43724.26,8668.45
41990.08,6420.95
58031.92,6423.74
76630.09,10371.79
29899.26,4320.73
47147.15,11122.78
33911.8,4741.39
66697.57,11807.09
26544.56,4655.97
87727.97,16608.25
77191.12,13311.29
70145.62,6739.19
65621.61,9487.61
43501.43,6032.98
57685.21,9218.68
88721.41,10666.48
62357.51,9702.2
85579.1,10057.36
38120.33,7633.5
73746.13,10529.36
33851.6,3157.95
63490.89,8283.28
53316.08,6434.13
33852.95,7275.03
60813.14,4579.48
92186.94,1792.6
91168.7,13248.74
34675,7100.63
38933.45,6775.01
98707.68,18547.27
65799.4,11547.35
94358.27,7046.7
51987.94,9617.6
46614.93,5289.2
69330.73,12763.9
23711.2,5548.24
61558.04,8002.56
31485.34,6829.75
96612.3,10367.12
64122.92,11653.72
56352.68,1136.58
46231.6,4192.78
89222.19,11580.49
42768.27,5184.83
35941.54,799.63
25358.07,3476.82
25495.46,6606.98
53383.83,4111.92
32766.84,5550.19
29462.93,4218.71
70693.87,9134.13
14289.73,3302.25
73076.78,8811.07
41669.98,5911.75
46804.96,1585.79
83885.62,10390.91
92697.16,11864.61
35427.55,6273.16
96499.43,18246.83
75555.5,9694.42
71773.76,10149.09
14755.95,2422.27
45569.81,6783.86
53006.08,3178.19
60422.79,14079.99
72843.54,7984.01
92411.52,12868.34
65651.61,10013.88
48557.94,3681.34
58787.23,9251.05
15263.06,2707.52
33477.12,6115.18
45743.68,5159.05
27797.03,3834.69
84873.48,12245.1
23759.85,4811.3
82307.67,9206.42
59214.35,5741.37
69608.59,9636.08
25452.86,4483.24
66974.98,11910.62
38068.28,4603.71
75209.89,9058.19
45904.58,11802.43
97242.08,5481.67
97065.85,13246.3
75403.23,11088.54
33149.51,4570.93
29960.91,3932.96
63374.11,3719.96
34076.93,2992.33
57796.34,7016.66
80676.25,15121.13
25125.47,4580.02
46395.93,10225.35
52441.86,5665.07
88129.61,13362.56
93313.72,11911.78
89377.98,12558.44
70676.82,9793.54
95515.03,15265.74
56480.04,7626.17
61886.71,11185.54
40269.81,7013.96
41259.22,6106.25
11802.19,3113.65
55253.17,3998.31
88393.91,7972.77
10567.07,2917.59
16485.14,4419.72
24779.01,5458.31
79330.07,6734.91
76166.59,7802.67
97468.81,20212.73
51982.51,3526.94
16694.61,3819.17
68393.63,9788.86
78273.39,7863.84
22339.55,2700.91
45692.61,5670.22
30248.68,9091.08
15216.27,3438.11
45630.34,6053.98
15843.55,3726.45
30329.78,3260.48
14916.62,4051.93
70325.38,11562.13
36796.76,5039.15
19064.94,3963.05
16471.37,3231.2
89239.65,14002.25
77882.27,3328.75
83494.53,9421.62
98392.63,14906.27
19323.97,5562.7
18913.76,3032.22
81894.85,5609.02
80611.77,9625.02
10848.69,3053.67
80115.93,13048.16
75645.16,9131.87
66711.87,6756.5
53281.97,12363.18
24097.32,4013.15
10739.4,3546.94
50721.26,8960.01
54306.4,6236.6
45062.84,10251.99
51819.93,4187.32
74195.11,5940.73
14977.17,4371.73
41930.48,2927.8
82253.1,12846.54
85213.8,11362.65
31397.45,6300.62
41858.75,7821.37
87119.69,7812.84
86838.7,7712.15
36630.59,7154.47
23234.35,5355.49
73359.29,5251.02
19342.6,2742.86
13035.5,2603.11
99946.41,11920.79
13138.73,3300.04
40455.22,10753.68
92355.74,13718
65551.17,8060.42
35765.68,4632.46
76401.77,7596.21
85064.89,7870.03
38284.37,3734
54330.99,7907.86
67731.61,4812.74
67953.06,12164.29
98006.81,12531.8
47326.18,8045.05
20746.43,3462.94
57342.67,11775.68
30256.6,4575.68
53777.06,8957.02
43319.33,6361.55
98501.52,14209.73
44948.72,5502.73
30632.04,6968.53
66096.78,6898.98
22288.62,7416.06
97072.25,10922.26
56356.46,7991.05
24676.33,3702.49
65971.21,11015.06
98735.87,12806.05
70189.44,11248.62
47702.43,8471.24
39101.05,4406.89
85172.98,14034.37
22943.53,2929.34
27353.44,4945.09
90706.48,15209.69
37730.76,2770.72
42697.05,5327.38
80555.18,8432.49
27404.08,1914.63
11598.92,3042.42
46594.71,9938.78
53485.09,3584.78
47966.05,4159.79
40852.79,5282.37
87983.5,10536.76
50959.72,7363.32
58038.84,8352.34
96745.9,10328.84
79713.24,19374.29
28798.87,4235.32
37790.81,3255.87
97420.82,4119.97
62641.01,7639.32
78474.13,7729.85
43543.85,8639.5
79227.45,9181.21
58390.95,8070.33
92259.59,3763.76
26676.68,4347.63
35399.66,5058.73
18546.62,2553.58
28943.84,3573.17
97938.91,7517.92
36667.2,7183.26
75338.47,11635.89
80711.91,12873.61
19487.6,5318.56
31563.52,4649.13
34349.04,7466.75
19095.26,3655.81
20612.25,5252.8
99211.29,5705.31
98744.89,8891.39
22336.07,5253.71
91477.86,18728.81
61867.17,8066.45
45590.4,5803.85
50482.22,8628.48
73585.17,8914.64
17425.25,3754.4
40538.13,6565.03
71270.88,13009.59
38525.43,3799.97
84841.17,8612.29
29365.49,5817.98
54815.4,1605.99
34844.47,7741.4
27282.1,3843.45
95555.91,6565.84
38955.3,6221.93
53061.07,13232.44
12519.33,2831.11
59271.35,3497.74
67981.62,8345.54
63663.72,12091.44
38974.36,5357.43
90200.29,13724.85
66363.13,12474.12
37261.44,2533.14
44938.42,7842.16
24442.76,3812.34
87629.67,10501.86
95779.11,22329.17
60728.02,8838.79
39659.27,7573.67
99695.55,7036.33
31133.77,5783.03
65140.48,8111.58
19736.07,3744.74
53832.93,8885.09
18950.12,2469.68
24504.92,6154.23
35469.36,9595.12
62548.51,6875.03
75853.69,11553.03
24896.88,7046.42
87982.1,6917.94
73771.67,9551
78435.96,18897.59
23237.57,3248.72
42225.13,8239.77
70599.92,10731.45
57144.03,6676.87
41482.16,6898.74
31647.76,4639.12
15237.26,4103.03
31295.78,4332.21
90107.01,3094.11
83064.47,13683.84
77276.47,14102.76
23942.06,4527.73
21226.79,3241.63
97725.32,9414.47
49251.7,3681.49
51761.5,3585.52
24876.83,5896.2
62644.29,1816.72
34370.02,6397.12
30708.72,4481
72208.7,4434.68
35456.72,5133.47
82935.83,9509.63
18452.49,4954.52
83982.71,20471.3
48468.55,11264.54
78029.85,16150.68
69614.7,14585.94
50007.47,9322.93
66443.16,7134.34
10041.88,3090.13
29551.92,2693.59
73438.5,6487.71
29364.98,3654.67
83254.03,5787.35
37698.75,8432.64
71896.84,10987.28
93941.3,12636.54
20420.17,4030.45
21493.51,5208.91
71040.15,12246.25
48605.37,4661.48
85096.09,1983.73
97429.43,6002.04
16344.01,3229.99
51380.67,7129.74
73142.66,14812.42
17824.62,4348.19
99364.96,15341.96
32778.91,6606.22
14458.46,3351.56
71769.25,5322.62
80823.46,6455.22
41824.55,3344.18
42979.73,3519.98
35839.01,2865.14
17197.56,4458.54
42890.88,3684.29
26021.24,5407.55
58244.83,14654.8
55355.38,6987.44
95053.16,10630.79
40718.92,7779.52
51824.24,7144.83
17427.81,3077.18
87409.62,4536.9
45609.46,6773.74
76230.94,7994.99
25456.91,5045.11
50928.55,7810.98
79318.43,15079.72
15638.5,4033.18
83357.33,15072.14
37102.83,5839.54
42820.39,8028.94
38090.15,5338
13363.3,3233.68
56692.44,7880.94
71111.21,5163.51
91291.02,5626.15
12297.4,3051.02
99017.04,4962.36
37259.89,5904.25
94522.46,15225.19
71884.68,6016.75
50233.33,7153.91
83483.03,3916.01
13554.93,3989.1
76512.85,8284.86
41384.75,9305.48
84632.57,10640.18
58198.73,13231.95
34709.08,6052.09
82085.34,9430.1
18248.02,4748.21
84889.7,12738.33
34916.96,4521.84
77779.91,12509.04
96773.73,14729.97
17331.99,4056.37
86892.83,9140.58
82201.44,10013.71
44665.62,8429.31
39483.77,8168.72
28444.48,5268.12
61244.44,5653.61
89924.97,14381.83
57674.27,8199.68
62826.28,11855.47
69916.16,3393.34
57690.32,5622.49
55885.86,9076.98
11454.44,2370.59
14293.9,5393.87
93641.56,7375.98
79235.7,11695.32
28097.26,2382.16
68523.54,16407.25
68839,11382.12
45572.84,5386.27
83107.43,11395.84
59232.11,5819.06
89661.94,3257.74
59798.26,4722.44
91544.33,6982.67
62871.52,11875.06
48111.73,7932.68
95462.68,9778.35
73813.41,8435.58
47197.49,9250.16
11652.77,2580.19
61006.07,9928.97
54105.71,4882.85
89080.66,14100.07
83156.74,15541.83
86869,8787.18
43110.64,7295.78
88655.49,1088.81
23620.44,4744.51
35363.05,6092.21
70003.46,10490.14
97964.52,17754.33
62446.58,5267.32
57393.11,11755.04
15470.4,2803.94
97213.5,3774.32
20821.34,6378.64
17952.7,4528.13
89268.77,14334.6
55753.36,9334.96
40374.55,5616.12
90490.12,15612.78
12877.45,4212.33
31350.67,2687.07
71784.13,5075.86
30323.66,3936.78
38664.51,6883
25658.54,1558.49
82128.66,9566.39
23165.39,2636.06
84044.57,8953.88
39789.8,2781.89
43675.24,8923.51
66677.09,7747.45
18697.04,3687.68
11979.43,4091.67
99374.03,7640.4
62554.5,3418.23
80364.08,7547.67
90270.65,8080.98
77937.89,11159.09
98128.34,10263.48
13973.24,2411.38
91306.08,10290.68
87895.07,13411.18
79786.68,4619.32
43913.48,8589.16
13789.72,3866.8
42797,9490.5
34637.61,4895.95
86542.07,12482.88
42616.15,4401.01
37403,5260.41
78322.18,5705.14
86035.12,15229.96
51212.94,3412.81
75666.85,11892.26
19367.08,3274.7
29798.49,3418.5
95855.61,18587.42
77683.38,10183.78
83705.98,11765.6
47599.94,7222.93
63445.46,10414.7
81894.12,16228.77
89956.78,11274.66
44667.24,9193.46
18128.99,1685.12
66316.93,10721.06
77107.26,11340.96
17684.06,3928.35
37046.59,5940.09
65310.59,7036.67
77763.89,7353.75
92535.14,16322.81
52817.55,6788.82
61040.75,11710
76295.83,8153.49
87170.27,6299.76
91823.19,17823.72
15074.4,3433.21
55261.75,10889.63
41549.03,3595.48
86100.05,12150.84
82579.16,8954.4
20559.81,6064.73
74141.79,14261.9
31174.2,5990.74
16746.11,3250.17
94208.15,16053.5
24145.1,5285.78
68235.16,3887.57
25616.6,6083.25
11806.66,3686.58
56918.25,7158.02
17765.01,5830.12
35470.21,7236.91
47839.14,5554.62
62855.03,11211.85
82602.5,11950.7
28179.57,4571.46
50332.88,5947.12
76037.3,9696.08
74327.93,12121.22
84809.98,11976.33
89790.95,11997.08
95738.01,18817.39
59555.5,7798.05
57010.22,4691.79
25362.84,3897.74
53134.44,6823.89
32843.87,4340.64
13580.26,2091.93
67132.05,10711.92
58560.48,10173.67
22609.32,3428.73
35534.06,6328.45
62472.75,7261.23
24852.33,4118.18
18667.1,4430.57
48575.18,7873.02
42018.54,4975.67
86044.02,7455.65
33411.92,6248.85
12083,2604.71
87615.96,7676.26
40112.92,8785.32
66861,9222
59178.36,6604.7
43880,3803.71
26728.57,5631.49
48604.65,5514.61
66769.62,9000.4
56875.81,11072.05
69365.92,8175.25
75642.48,13464.18
53814.06,4297.6
44601.1,2528.73
10615.02,3235.19
10331.58,3648.08
99544.28,9334.68
19709.82,3719.55
47680.22,8975.88
74609.61,7765.04
76828.52,5379.6
88479.89,7194.81
64708.12,7911.11
78058.3,3760.93
86251.72,14112.99
65150.17,10384.81
81390.18,13568.11
12056.92,4137.41
47522.31,9098.56
88739.41,17298.67
68261.23,7630.69
93203.11,16728.27
25500.26,2828.61
38423.15,7020.93
82383.07,17067.62
99006.71,22085.59
39014.7,6469.05
10107.25,3397.08
99295.36,6574.44
23351.72,2544.38
14442.79,3435.37
63761.81,9309.98
38919.56,5634.21
57513.61,5443.94
81587.98,5172.89
16203.93,4382.99
72551.86,12904.47
95376.84,10778.78
34999.24,8441.78
32446.59,5269.52
24349.19,5624.52
16446.71,3092.55
60169.38,9839.37
54085.33,9193.76
54486.31,8237.81
89953.44,15902.09
13303.39,3241.6
28336.94,1991.39
56240.3,6677.13
31270.59,6314.2
61789.21,2388.95
53403.21,2760.69
61241.74,8193.97
22973.71,4435.92
23113.79,5720.22
47105.48,6565.78
71470.93,10962.34
68808.5,9821.06
92438.77,14684.9
83180.18,14128.31
70830.1,4359.69
82674.92,7442.1
21525.8,5141.34
32570.07,1728.05
39839.23,866.84
46654.24,6983.17
67183.08,8830.96
82775.08,8839.61
33292.11,6741.27
83752.04,15367.93
11392.99,3705.27
68896.07,8281.23
83054.76,10192.87
51523.2,7937.95
28307.54,1821.37
11689.14,2582.01
35481.94,6961.91
92374.54,12378.83
94032.69,5278.57
58827.85,11674.18
29748.03,5703.3
54048.5,5777.03
82103.39,10256.69
46686.76,6824.68
19334.04,3645.45
35250.87,5202.84
42531.96,5937.84
33332.04,6433.32
52361.37,9853.3
42926.09,7477.6
20914.48,5917.16
14229.43,3864.4
33651.67,5908.01
97177.71,15801.4
53964.59,7030.28
53003.98,9241.15
77391.36,17498.29
70087.62,8279.54
14447.4,4192.01
72559.47,9346.06
42693.54,4672.84
89572.02,16034.55
79776.75,11809.2
22528.33,3895.97
36550.83,8874.47
21347.45,2153.08
63091.15,8110.83
60550.8,7424.06
71984.9,8727.58
38014.37,6031.85
64502.82,14454.64
99193.09,1625.56
76888.44,13676.28
16827.14,3043
50605.2,9444.46
14818.32,3150.34
40560,7803.54
76055.69,8761.64
10369.62,2720.45
79471.85,5066.71
51667.77,4589.58
74875.63,8129
69985.51,8857.36
61486.63,9729.89
73343.17,9054.7
69149.9,13176.08
36041.69,3369.82
18751.55,4395.39
96617.92,16090.11
76270.06,11572.9
65145.11,8094.2
20793.6,3553.94
59523.31,3757.1
33648.07,2767.75
90852.47,14258.82
10826.2,2910.42
31261.14,2759.19
21704.01,4729.69
39360.98,7490.08
75375.9,1430.9
99257.07,21048.52
74362.02,14028.37
55399.58,4032.45
49244.29,4944.26
95394.27,12533.19
20816.33,4460.92
16763.07,2678.46
90011.93,8133.84
48200.69,14251.99
13812.46,4028.7
68269.79,13573.57
52175.72,5147.7
65613.35,7552.09
34373.39,3114.77
24156.58,4853.42
20282.88,3977.33
55691.46,14006.58
59322.91,6988.57
22658.16,4277.94
25279.21,3338.3
78578.68,10762.87
57465.54,5494.33
87489.04,6206.26
70619.95,8694.08
11173.69,2612.71
72387.9,6117.1
90254.24,13325.84
66866.52,12327.13
19656.52,4819.71
92895.87,11265.56
70782.61,9400.47
23373.43,3452.02
77080.77,10845.58
94833.9,16218.94
47870.5,4460.8
36795.08,7517.88
33348.4,4251.52
30059.32,5652.51
60908.89,3862.47
78098.51,10478.16
70264.32,13631.21
59187.05,7687.15
83031.73,3732.19
78325.01,16221.34
11806.16,2695.43
44281.33,4257.23
14579.21,3009.24
81811.26,6108.71
93132.93,12231.74
58833.85,8863.47
86712.81,9105.66
62520.66,10822.68
70149.13,10578.51
56018.31,4019.07
78647.55,12458.62
91302.61,5200.17
83842.71,10033.06
16428.87,3418.24
10350.67,2621.63
14697.88,4297.42
87990.42,10912.56
61862.07,9790.19
38245.83,5738.16
96351.92,7374.97
63207.44,10157.54
57826.84,5478.71
44554.3,8347.99
38759.79,10560.24
82754.76,11695.42
13772.75,3841.93
42736.84,7207.94
87093.73,16156.87
72815.19,4733.55
71603.78,5735.62
41321.35,6284.86
59921.36,7813.17
22351.93,2948.99
80643.84,2992.74
89817.63,8863.72
28368.63,7170.43
79356.07,18840.01
63672.67,11026.25
96190.28,3826.04
24281.96,5338.3
57337.68,6185.12
88583.62,11425.31
88273.55,13817.66
12131.98,4220.11
97830.07,12440.35
54120.18,5508.55
45025.33,8224.62
47579.95,8708.21
18363.32,4666.21
24562.83,5861.02
46487.48,7319.92
40763.3,4153.8
47373.17,7052.87
37364.72,2444.38
60425.25,11519.41
24028.67,5010.39
96092.18,14985.4
13957,3508.12
43494.2,1149.2
96635.38,8717.67
68088.48,12023.73
15513.64,3339.06
46895.13,8652.16
48331.46,4567.31
55734.23,8292.73
50463.99,5663.62
66093.52,6464.1
22598.01,4049.83
91715.18,19035
61249.89,8652.4
59345.25,8594.56
20514.49,5684.24
78582.55,8727.87
53053.25,8678.68
80377.2,7131.72
14142.39,4014.13
83786.02,4735.69
34246.76,5329.08
35456.54,7544.9
67889.94,13332.32
95330.7,11120.9
10629.86,1792.85
41645.59,9590.43
47714.12,5286.21
51208.91,8959.74
74052.33,3123.22
92786.33,9208.78
66439.96,14062.38
91196.36,12683.36
78159.62,11158.57
22407.25,5246.79
23792.94,2755.74
27218.1,4765.06
48986.66,8061.79
17849.74,4796.02
30140.2,3794.25
61493.38,8869.55
46015.23,8134.41
60891.88,19402.05
84666.15,17197.01
67790.24,743.89
45234.89,6562.45
73862.19,10091.91
19794.17,4789.16
34626.05,4252.03
63448.02,11505.95
24416.63,3595.94
86808.72,10231.71
86296.52,13235.23
53009.81,5689.36
79632.29,10301.13
36586.01,8545.22
15906.53,3221.9
49647.98,4088.87
51588.9,9025.6
40684.09,4472.49
26662.63,4308.45
55629.8,8975.42
11727.19,3443.22
79631.74,14659.26
60369.86,5986.23
67731.64,7694.16
52158.89,5499.81
35130.14,5227.38
51509.49,12274.47
81346.45,9886.33
62700.9,8182.9
45528.31,7717.28
83011.36,5250.92
38670.68,7710.89
62330.26,8051.13
50994.01,5302
34192.31,6059.17
59965.95,7447.4
30810.78,4847.51
58890.96,7550.84
50281.31,10917.91
21725.93,3571.97
65955.34,11742.46
59319.49,8419.61
23431.98,4017.82
60359.13,6091.08
48419.7,5953.21
50295.71,6335.71
84996.53,15134.61
74762.86,6555.4
51119.81,11312.3
56913.78,7205.38
31821.14,4142.13
16827.48,3087.13
45216.56,6946.93
11179.74,4095.1
88074.95,9819.91
99335.41,11458.14
73796.98,10136.38
84404.39,10708.05
90270.66,7679.54
58546.97,10747.77
59978.22,4307.59
34879.59,3778.72
69327.81,7492.73
31909.17,4746.68
35943.96,7488.82
74420.29,7123.62
75478.03,8875.32
25573.87,4132.37
37568.01,8769.54
43291.65,9465.26
16994.94,2800.12
74183.52,11037.46
59583.05,4093.74
22227.89,3301.36
97674.73,8927.04
60576.68,5491.33
80956.84,11020.99
86402.27,9287.23
89023.76,12265.34
82042.87,15248.44
67613.36,12720.45
66603.5,1762.6
34426.81,5004.75
12694.58,3571.84
47787.78,9562.02
41989.12,5001.14
45309.81,6820.57
25474.31,6626.21
38767.79,6262.51
47219.96,11151
78340.21,1150.97
34470.12,8952.41
20402.42,1617.47
12640.3,3980.16
82616.98,14653.71
53211.38,6310.37
82562.31,8889.82
17110.51,4015.23
20380.37,4211.16
21647.47,4423.69
76487.37,14673.98
78138.87,10709.65
99320.98,1680.9
66209.77,9999.05
35982.11,5017.58
27992.06,5978.95
82082.61,6617.4
75498.64,8603.98
29534.32,2682.41
76981.47,3987.92
87998.83,3123.14
57646.52,7834.51
94386.91,17359.15
95565.17,8447.68
69447.91,8995.73
16505.79,4639.36
84369.84,11707.67
53158.97,8436.72
45210.59,5081.98
36921.05,3302.84
31987.74,6224.9
47962.91,6309.45
94399.32,11439.75
33803.66,3986.65
61171.19,6414.39
28196.61,1589.14
27352.51,2475.43
74675.06,3600.84
38216.61,5477.13
22455.11,3048.2
15222.76,3818.43
93798.97,11545.14
61150.42,6591.01
20599.33,2406.39
60831.5,6042.46
58623.06,10479.02
83771.43,12374.25
73268.16,8184.32
61097.35,1253.52
74917.83,7670.53
44328.03,10364.35
35920.93,5652.64
57851.5,11432.88
33368.15,5046.58
84861.13,19292.79
46482.75,4559.71
16536.87,4346.57
95838.28,11531.39
29546.54,6028.86
46506.27,3569.05
66310.15,16051.66
66556.43,9662.1
39541.48,4972.11
22501.85,2915.57
92319.15,4191
63920.44,2586.99
77464.64,3094.03
92705.93,11454.67
57588.89,10988.35
43478.09,7117.19
15922.75,2054.06
86893.29,11061.9
55937.02,11789.17
28899.83,6356.2
43825.91,10423.14
28662.89,5467.61
31735.2,6192.83
20682.13,4288.57
16522.22,2232.72
72189.09,8744.44
35826.19,4379.07
23447.12,3824.81
97518.88,14049.78
46946.3,5305.34
46163.25,5111.6
68370.07,3857.05
92467.52,12043.29
29499.59,5762.62
59319.9,9627.71
74804.54,13928.25
45752.14,1164.26
18460.13,3876.68
67140.68,4234.79
10223.09,3333.49
28947.09,5010.53
71112.05,5311.23
87957.02,9135.28
81972.74,15947.17
22149.68,3615.33
44874.84,2617.21
80962.47,14505.44
72362.23,13468.56
63484.57,6421.2
21147.19,5863.72
59957.03,7497.82
50447.02,3831.18
78954.99,8687.33
12348.79,3391.92
27565.43,5531.78
89311.11,12650.97
19882.14,5217.11
97169.58,12838.94
44667.87,7620.95
87273.23,15202.6
89864.63,10239.18
54018.23,5263.87
74628.26,8410
53803.5,3793.36
98983.8,12144.34
15827.6,3981.46
24189.65,3152.48
80681.38,6560.63
58796.95,4621.11
47489.26,6652.89
99899.44,19065.7
33010.58,4256.78
55708.81,5820.07
17107.41,3689.08
83230.15,6263.56
44396.12,8692.65
82196.44,8978.86
27813.13,6354.22
95175.98,14560.62
41110.52,7745.11
56984.52,3484.06
20051.92,2320.15
89737.74,11238.39
95882.95,9870.53
13634.27,3132.16
54425.46,7164.44
30345.73,7463.12
87292.03,8713.62
57784.22,5993.98
10417.43,3889.38
34980.41,5889.22
39268.28,6402.8
62983.56,4220.07
32471.62,6463.62
13880.56,4199.14
19961.09,4709.01
73337.84,5118.44
94511.91,18305.08
38005.21,5234.66
17064.36,5273.47
38956.97,6800.94
66241.5,10002.9
49621.77,11943.39
82121.08,15173.59
35135.54,6322.88
61364.19,5724.61
13791.52,4000.9
27164.57,5760.55
75437.78,7608.2
84402.1,9515.33
55964.9,6826.57
61095.35,3088.2
10104.02,3353.06
22940.03,2586.57
87937.04,12312.63
17430.5,2395.2
32011.36,6731.94
98338.88,15877.48
61982.32,14001.2
32385.37,3318.36
65345.86,11654.52
12858.16,3147.32
23178.12,4568.09
73276.57,7810.23
15900.46,3920.02
65962.64,4930.9
94359.46,7179.72
17910.52,4525.93
12340.96,3065.78
75270.52,7855.93
50833.58,8980.75
60956.42,9408.1
88545.79,4858.89
59910.69,12433.09
76388.7,13671.16
66081.62,13358.56
37992.56,3951.11
45297.68,10843.51
28187.87,6517.98
86750.24,15692.65
64614.71,4551.72
78048.82,9539.4
60626.51,8633.38
34830.91,3099.77
76200.26,8852.42
59435.18,10254.06
41151.43,6763.08
56346.91,8314.42
83419.12,16376.48
57364.53,5572.02
28273.6,5948.54
86329.69,15241.37
43344.48,3501.62
37299.27,2017.37
79353.73,13746.63
76010.37,8648.19
85501.54,20789.82
61214.4,9096.69
12365.28,3219.5
53751.45,2723.18
58841.29,5502.83
85299.41,4649.83
75579.81,20323.36
59960.24,4159.68
16607.3,4176.71
22285.21,5723.3
71614.78,8001.99
18965.97,4033.52
28340.73,3301.05
42938.21,6280.99
86157.62,9060.59
31318.53,3952.17
73439.01,11535.97
19684.79,3148.86
80116.2,3822.54
32959.51,6652.22
59323.9,8531.56
13051.14,2246.11
82549.85,7349.96
40397.75,7759.2
92465.73,6634.79
42139.58,7846.65
97782.85,10177.22
44594.07,3297.78
53980.62,8668.77
54169.86,675.81
11102.92,2751.2
67732.59,8482.06
56131.75,8317.41
38831.69,6382.16
62328.98,8589.96
65561,13096.07
49444.71,11183.44
25333.21,6853.77
74357.24,4560.44
77300.79,6613.07
85952.32,5185.9
58128.31,6596.65
37201.17,6288.07
51086.64,7586.48
44590.83,5943.63
32414.22,4989.72
68916.41,7451
95979.13,7467.69
36197.47,4291.94
68517.02,6011.5
58272.39,6349.42
63770.67,3930.53
12240.84,3978.66
10435.76,4061.65
21824.04,2754.15
12233.54,3991.33
18291.65,3932.74
52800.24,7350.66
27699.11,4850.87
83320.66,12236.58
31965.33,5360.7
53992.69,5075.11
68399.42,9312.24
24284.48,5490.34
85328.01,9526.32
49293.69,3911.56
31014.6,2540.74
36897.04,6838.5
24347.92,4356.97
62701.04,6410.26
23390.02,4602.85
26115.36,3702.73
40529.94,5886.07
26551.17,5034.63
46498.74,1909.58
65220.37,5312.15
71710.42,4432.29
84117.3,5207.77
43658.39,9754.83
95755.69,17242.41
11694.89,3616.43
65113.75,7304.22
51721.64,10235.45
41925.67,3632.7
89418.07,2018
16822.26,1136.14
89496.21,11966.81
26939.97,4743.12
29356.01,3775.9
88257.91,12984.4
15475.43,3580.33
31140.96,4643
99371.4,18268.2
71037.8,14218.32
49193.81,9483.42
43957.89,7707.03
51506.56,4571.55
82166.67,9196.46
69667.03,8812.02
51940.33,7582.51
14793.35,4306.22
31347.81,2909.92
30991.58,2998.52
30758.82,4983.53
15555.36,2411.51
54740.67,10530.53
31971.26,4928.33
59257.24,7219.14
95326.02,12540.25
17755.5,3090.85
95309.43,5498.76
75015.9,9550.45
